"web_words","hunspell_stem","hunspell_time","porter_stem","porter_time","rslp_stem","rslp_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"especializados","especializar",13.7271731535594,"especializ",12.6491124629974,"especi",1.63737120628357,"esp","espe","espec","especi","especia","especial"
"especificada","especificar",13.7281627655029,"especific",12.6499347686768,"especific",1.637511074543,"esp","espe","espec","especi","especif","especifi"
"especificados","especificar",13.7292814453443,"especific",12.6507866382599,"especific",1.63765342235565,"esp","espe","espec","especi","especif","especifi"
"especificidade","especificidade",13.7302981058757,"especif",12.6516222953796,"especific",1.63776926994324,"esp","espe","espec","especi","especif","especifi"
"especificidades","especificidade",13.7312907218933,"especif",12.6524486541748,"especific",1.63789561589559,"esp","espe","espec","especi","especif","especifi"
"especularem","especular",13.7323789079984,"especul",12.653263092041,"especul",1.63803147872289,"esp","espe","espec","especu","especul","especula"
"especular","especular",13.7333703875542,"especul",12.6540925502777,"especul",1.63817620277405,"esp","espe","espec","especu","especul","especula"
"especulativo","especulativo",13.7344643115997,"especul",12.6549296379089,"especul",1.63829838832219,"esp","espe","espec","especu","especul","especula"
"especulações","especulação",13.7354516267776,"especul",12.6557714939117,"especul",1.63843833208084,"esp","espe","espec","especu","especul","especula"
"específica","específico",13.7364411751429,"específ",12.656594991684,"especif",1.63857313394546,"esp","espe","espec","especí","específ","específi"
"específicos","específico",13.7375356316566,"específ",12.657416343689,"especif",1.63871028820674,"esp","espe","espec","especí","específ","específi"
"espelha","espelhar",13.7385206699371,"espelh",12.658239364624,"espelh",1.63885788122813,"esp","espe","espel","espelh","espelha","espelha"
"espelho","espelhar",13.7395135482152,"espelh",12.6590530872345,"espelh",1.63899562756221,"esp","espe","espel","espelh","espelho","espelho"
"esperada","esperar",13.7406055569649,"esper",12.6598763465881,"esper",1.63914248943329,"esp","espe","esper","espera","esperad","esperada"
"esperadas","esperar",13.7416008432706,"esper",12.6606891155243,"esper",1.63928816318512,"esp","espe","esper","espera","esperad","esperada"
"esperançados","esperançar",13.7425917943319,"esperanc",12.6615114212036,"esperanc",1.63941558996836,"esp","espe","esper","espera","esperan","esperanç"
"esperançoso","esperançoso",13.7436815301577,"esperanc",12.6623306274414,"esperanc",1.63953660726547,"esp","espe","esper","espera","esperan","esperanç"
"esperaria","esperar",13.7446743448575,"esper",12.6631412506104,"esper",1.63969102303187,"esp","espe","esper","espera","esperar","esperari"
"esperarmos","esperar",13.7457748532295,"esper",12.66397356987,"esper",1.6398344318072,"esp","espe","esper","espera","esperar","esperarm"
"espere","esperar",13.7467580874761,"esper",12.6647937297821,"esper",1.63997204701106,"esp","espe","esper","espere","espere","espere"
"esperem","esperar",13.7477518200874,"esper",12.6656079292297,"esp",1.64012496471405,"esp","espe","esper","espere","esperem","esperem"
"esperou","esperar",13.7488482435544,"esper",12.6664214134216,"esper",1.64028270641963,"esp","espe","esper","espero","esperou","esperou"
"esperávamos","esperar",13.7498341004054,"esper",12.6672370433807,"esper",1.64043865998586,"esp","espe","esper","esperá","esperáv","esperáva"
"espetacular","espetacular",13.750821185112,"espetacul",12.6680762767792,"espetacul",1.64057284196218,"esp","espe","espet","espeta","espetac","espetacu"
"espicaçou","espicaçar",13.7519120454788,"espicac",12.6689007282257,"espicac",1.64071971178055,"esp","espi","espic","espica","espicaç","espicaço"
"espinhal","espinhal",13.7528958479563,"espinhal",12.6697211265564,"espinh",1.64084666967392,"esp","espi","espin","espinh","espinha","espinhal"
"espinhos","espinhos",13.7538848718007,"espinh",12.6705367565155,"esp",1.64100004037221,"esp","espi","espin","espinh","espinho","espinhos"
"espionagem","espionagem",13.754973979791,"espionag",12.6713495254517,"espion",1.64111421902974,"esp","espi","espio","espion","espiona","espionag"
"espiral","espiral",13.7559606273969,"espiral",12.6721861362457,"espir",1.64124571084976,"esp","espi","espir","espira","espiral","espiral"
"esplendorosa","esplendoroso",13.7570490201314,"esplendor",12.6731219291687,"esplendor",1.64138342142105,"esp","espl","esple","esplen","esplend","esplendo"
"esponja","esponjar",13.7580389857292,"esponj",12.6739361286163,"esponj",1.64153226216634,"esp","espo","espon","esponj","esponja","esponja"
"esportivos","esportivo",13.759025601546,"esport",12.6747531890869,"espor",1.6416748603185,"esp","espo","espor","esport","esporti","esportiv"
"espreitado","espreitar",13.7601163188616,"espreit",12.6831908226013,"espreit",1.64179103374481,"esp","espr","espre","esprei","espreit","espreita"
"esquadras","esquadrar",13.7611025770505,"esquadr",12.6840527057648,"esquadr",1.64196616808573,"esq","esqu","esqua","esquad","esquadr","esquadra"
"esquecem","esquecer",13.762092824777,"esquec",12.6848816871643,"esquec",1.64211285114288,"esq","esqu","esque","esquec","esquece","esquecem"
"esquecemos","esquecer",13.7632737835248,"esquec",12.6857316493988,"esquec",1.64226131041845,"esq","esqu","esque","esquec","esquece","esquecem"
"esquecendo","esquecer",13.7642769535383,"esquec",12.6865429878235,"esquec",1.64240142504374,"esq","esqu","esque","esquec","esquece","esquecen"
"esquecida","esquecer",13.7652937730153,"esquec",12.6873505115509,"esquec",1.64254275957743,"esq","esqu","esque","esquec","esqueci","esquecid"
"esquecidas","esquecer",13.7663846333822,"esquec",12.6881694793701,"esquec",1.64268783330917,"esq","esqu","esque","esquec","esqueci","esquecid"
"esqueçamos","esquecer",13.7673825581868,"esquec",12.6889820098877,"esquec",1.64283108711243,"esq","esqu","esque","esqueç","esqueça","esqueçam"
"esqueço","esquecer",13.7683882474899,"esquec",12.6897931098938,"esquec",1.64298492272695,"esq","esqu","esque","esqueç","esqueço","esqueço"
"esqui","esqui",13.7694850722949,"esqu",12.690598487854,"esqu",1.64311923980713,"esq","esqu","esqui","esqui","esqui","esqui"
"esquina","esquinar",13.770486998558,"esquin",12.691428899765,"esquin",1.64327223300934,"esq","esqu","esqui","esquin","esquina","esquina"
"esquis","esqui",13.7715898474058,"esqu",12.6922414302826,"esquil",1.64342674016953,"esq","esqu","esqui","esquis","esquis","esquis"
"essência","essência",13.7725760738055,"essênc",12.693067073822,"ess",1.64382699728012,"ess","essê","essên","essênc","essênci","essência"
"estabelecendo","estabelecer",13.7735643625259,"estabelec",12.6938853263855,"estabelec",1.64396430253983,"est","esta","estab","estabe","estabel","estabele"
"estabelecia","estabelecer",13.7746561527252,"estabelec",12.6947038173676,"estabelec",1.64412030776342,"est","esta","estab","estabe","estabel","estabele"
"estabelecida","estabelecer",13.7756428599358,"estabelec",12.6955196857452,"estabelec",1.64426720937093,"est","esta","estab","estabe","estabel","estabele"
"estabilizado","estabilizar",13.7766294797262,"estabiliz",12.6963648796082,"estabil",1.64439285198847,"est","esta","estab","estabi","estabil","estabili"
"estacionadas","estacionar",13.777717312177,"estacion",12.6971836090088,"estacion",1.64453017314275,"est","esta","estac","estaci","estacio","estacion"
"estacionado","estacionar",13.7787092685699,"estacion",12.697998046875,"estacion",1.64464694261551,"est","esta","estac","estaci","estacio","estacion"
"estacionados","estacionar",13.779696726799,"estacion",12.6988184452057,"estacion",1.6447721640269,"est","esta","estac","estaci","estacio","estacion"
"estadia","estadiar",13.7807835539182,"estad",12.6996238231659,"estad",1.64491116205851,"est","esta","estad","estadi","estadia","estadia"
"estafeta","estafetar",13.7817749341329,"estafet",12.7004404067993,"estafet",1.64505751132965,"est","esta","estaf","estafe","estafet","estafeta"
"estagnar","estagnar",13.7828634341558,"estagn",12.7012500762939,"estagn",1.64521114031474,"est","esta","estag","estagn","estagna","estagnar"
"estala","estalir",13.783854385217,"estal",12.702054977417,"estal",1.6453643600146,"est","esta","estal","estala","estala","estala"
"estaleiro","estaleirar",13.784844938914,"estaleir",12.7028698921204,"estal",1.64548319975535,"est","esta","estal","estale","estalei","estaleir"
"estarrecedora","estarrecer",13.7864504774412,"estarrecedor",12.7044186592102,"estarrec",1.64560962120692,"est","esta","estar","estarr","estarre","estarrec"
"estatal","estatal",13.7874530235926,"estatal",12.7052371501923,"estatal",1.64575736522675,"est","esta","estat","estata","estatal","estatal"
"estatueta","estatueta",13.7885399500529,"estatuet",12.7060542106628,"estatuet",1.64592912594477,"est","esta","estat","estatu","estatue","estatuet"
"estatuetas","estatueta",13.7895300825437,"estatuet",12.706876039505,"estatuet",1.64609080155691,"est","esta","estat","estatu","estatue","estatuet"
"estatísticos","estatístico",13.7905231356621,"estatíst",12.7076997756958,"estatis",1.64622051318487,"est","esta","estat","estatí","estatís","estatíst"
"estações","estação",13.7921362638474,"estaçõ",12.7091672420502,"estaca",1.64636954466502,"est","esta","estaç","estaçõ","estaçõe","estações"
"estendem","estender",13.7931402921677,"estend",12.7099761962891,"estend",1.6465066075325,"est","este","esten","estend","estende","estendem"
"estendeu","estender",13.7941327691078,"estend",12.7107810974121,"estend",1.64664353132248,"est","este","esten","estend","estende","estendeu"
"estendia","estender",13.7952278375626,"estend",12.7115859985352,"estend",1.64678345918655,"est","este","esten","estend","estendi","estendia"
"estendidas","estender",13.796226032575,"estend",12.71240234375,"estend",1.64693086544673,"est","este","esten","estend","estendi","estendid"
"estica","esticar",13.7973232150078,"estic",12.7132136821747,"estic",1.64708485205968,"est","esti","estic","estica","estica","estica"
"estigma","estigmar",13.7983111739159,"estigm",12.7140228748322,"estigm",1.64723762671153,"est","esti","estig","estigm","estigma","estigma"
"estigmas","estigmar",13.7993016282717,"estigm",12.7148497104645,"estigm",1.64739853143692,"est","esti","estig","estigm","estigma","estigmas"
"estimar","estimar",13.8003881812096,"estim",12.7156641483307,"estim",1.64752817153931,"est","esti","estim","estima","estimar","estimar"
"estimulando","estimular",13.8013773520788,"estimul",12.7164828777313,"estimul",1.64767047564189,"est","esti","estim","estimu","estimul","estimula"
"estimulação","estimulação",13.802363773187,"estimul",12.7173025608063,"estimul",1.64779302676519,"est","esti","estim","estimu","estimul","estimula"
"estipulam","estipular",13.8034549673398,"estipul",12.7181150913239,"estipul",1.64792499939601,"est","esti","estip","estipu","estipul","estipula"
"estirpe","estirpe",13.8044446905454,"estirp",12.7189226150513,"estirp",1.64805911779404,"est","esti","estir","estirp","estirpe","estirpe"
"estores","estore",13.8054298043251,"estor",12.7197368144989,"est",1.64819403092066,"est","esto","estor","estore","estores","estores"
